P (kPa);T (K);cp (kJ/kg K);Pr; K  (W/m K);Mμ;Viscosidade cinemática ν (cSt)
10;274;1.5280997396;0.011779947347645600;0.14703118413812700;0.0011334467003139300;1.2898902937754800
10;275.2;1.5334419576;0.011624715841330500;0.14674007900772400;0.0011124070999439300;1.2673497086356600
10;276.4;1.5387717474;0.011473298623164500;0.14644940675243800;0.0010919473792307700;1.2454217929133000
10;277.6;1.5440892745;0.011325556340251800;0.14615915904363800;0.0010720453912474500;1.2240832421286000
10;278.8;1.5494605259;0.011181867431354500;0.14586932762742200;0.0010526834705172200;1.2033157739120300
10;280;1.5547825825;0.011041347775160900;0.14557990432284900;0.0010338412398056100;1.1830979241542300
10;281.2;1.5601215004;0.010904359141492000;0.14529088102020000;0.0010155003608561600;1.1634104717232800
10;282.4;1.5654682503;0.010770721779929900;0.14500224967927800;0.0009976432855966250;1.1442350185628800
10;283.6;1.5707850367;0.010640069783600700;0.14471400232772400;0.0009802532157146790;1.1255539477280000
10;284.8;1.5761580077;0.010512873124535600;0.14442613105937800;0.0009633130588752390;1.1073492277659000
10;286;1.5815015523;0.010388475487113500;0.14413862803265800;0.0009468094431571940;1.0896070301057300
10;287.2;1.5868349193;0.010266904216448000;0.14385148546896800;0.0009307265706872680;1.0723106713052600
10;288.4;1.5921098735;0.010147753296978600;0.14356469565113800;0.0009150493554700040;1.0554442160006300
10;289.6;1.5974912095;0.010031997156451700;0.14327825092188500;0.0008997652051226770;1.0389945384375700
10;290.8;1.6028730912;0.009918866947576550;0.14299214368229700;0.0008848611007006080;1.0229479624361700
10;292;1.6081873062;0.009807865820323770;0.14270636639034800;0.0008703245498145420;1.0072913612399600
10;293.2;1.6135413895;0.009699580359129660;0.14242091155943300;0.0008561435644009460;0.9920121347693620
10;294.4;1.61884736;0.009593394528800600;0.14213577175692200;0.0008423058089235060;0.9770972244046270
10;295.6;1.6241543988;0.009489545490033540;0.14185093960274400;0.0008288010950182290;0.9625360074086610
10;296.8;1.6295222833;0.009388307826020980;0.14156640776798400;0.0008156188028816020;0.9483173126773710
10;298;1.6348722709;0.009289143751325940;0.14128216897350900;0.0008027479580369480;0.9344295068319830
10;299.2;1.6402243966;0.009192114788367710;0.14099821598860700;0.0007901795565108330;0.9208632011600380
10;300.4;1.6455288296;0.009096883073307930;0.14071454162964600;0.0007779041660749940;0.9076084657899430
10;301.6;1.6508959138;0.009003992985210850;0.14043113875875800;0.0007659119982661370;0.8946549105810220
10;302.8;1.656225655;0.008912843791508040;0.14014800028253400;0.0007541950762945050;0.8819942176064160
10;304;1.6615482766;0.008823540467726560;0.13986511915073900;0.0007427443164079410;0.8696167359511920
10;305.2;1.6668842499;0.008736146660819560;0.13958248835504500;0.0007315523495979940;0.8575147813958040
10;306.4;1.6721931965;0.008650391239228290;0.13930010092778000;0.0007206107375525120;0.8456793805973010
10;307.6;1.6775772738;0.008566751862502810;0.13901794994068600;0.0007099120262267230;0.8341026762573140
10;308.8;1.6829041644;0.008484506588515880;0.13873602850370500;0.0006994496613866920;0.8227778342495890
10;310;1.6882455339;0.008403969411107640;0.13845432976377100;0.0006892160700607240;0.8116967900816030
10;311.2;1.6935811106;0.008324993519529880;0.13817284690361200;0.0006792045848118890;0.8008525104626900
10;312.4;1.6989214112;0.008247588114421830;0.13789157314057700;0.0006694087744332620;0.7902382092147520
10;313.6;1.7042667004;0.008171719264104780;0.13761050172546700;0.0006598230122211120;0.7798480203102650
10;314.8;1.7096068272;0.008097290649285270;0.13732962594138100;0.0006504407202528010;0.7696749257115810
10;316;1.7149941986;0.008024509685723320;0.13704893910257400;0.0006412561279371110;0.7597128318310140
10;317.2;1.7202722613;0.007952607281408540;0.13676843455332800;0.0006322636671755850;0.7499558575590740
10;318.4;1.7255663656;0.007882138066166500;0.13648810566683100;0.0006234579641266570;0.7403983256914430
10;319.6;1.7309506881;0.007813399073763070;0.13620794584406800;0.0006148338281296490;0.7310347509207000
10;320.8;1.736309918;0.007745827587179020;0.13592794851272200;0.0006063862462173230;0.7218598343973310
10;322;1.7416015943;0.007679201362980410;0.13564810712608500;0.0005981098849001360;0.7128678709875420
