P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: 13-ClHexaFC3
10;257;0.63945720594090000000;0.0007353851234543630;0.007043064750533280;0.00000809962729788469;7.774988772625090;;;
10;263;0.64943483383853100000;0.0007374180232504410;0.007320549152529240;0.00000831231188086838;8.169195859681980;;;
10;269;0.65922671248225000000;0.0007393853667348970;0.007601290247255810;0.00000852556892903056;8.573574997313130;;;
10;275;0.66883524091571600000;0.0007412906053690420;0.007885135012190490;0.00000873933690844485;8.988101972517810;;;
10;281;0.67826283062092300000;0.0007431391167732920;0.008171931082545460;0.00000895358166900516;9.412775726542540;;;
10;287;0.68751187006247300000;0.0007449378196287360;0.008461527021309340;0.00000916829478073017;9.847619700363330;;;
10;293;0.69658478965388600000;0.0007466944940424010;0.008753772576976390;0.00000938348623514359;10.292676765697900;;;
10;299;0.70548407757538100000;0.0007484173824464180;0.009048518928230020;0.00000959918028845829;10.748006671152400;;;
10;305;0.71421210721968700000;0.0007501148847378980;0.009345618915005070;0.00000981541447473255;11.213686538863200;;;
10;311;0.72277136556901300000;0.0007517952953777740;0.009644927255498840;0.00001003223326263960;11.689804982982700;;;
10;317;0.73116428155911900000;0.0007534663864042050;0.009946300748833930;0.00001024968460895390;12.176458801685800;;;
10;323;0.73939326124529000000;0.0007551355700605010;0.010249598463197700;0.00001046782109612760;12.673754748291200;;;
10;329;0.74746072817428600000;0.0007568096957053610;0.010554681909394400;0.00001068669604037460;13.181805253794100;;;
10;335;0.75536912918629900000;0.0007584948623879390;0.010861415199845700;0.00001090635996234020;13.700724073794700;;;
10;341;0.76312086841649000000;0.0007601970270692780;0.011169665193167100;0.00001112686944444900;14.230637296230200;;;
10;347;0.77071831106070200000;0.0007619206795079200;0.011479301624526900;0.00001134826715353210;14.771658024073400;;;
10;353;0.77816387168431600000;0.0007636704384964450;0.011790197222066300;0.00001157060281280650;15.323912567419200;;;
10;359;0.78545991147289800000;0.0007654498936818240;0.012102227809723200;0.00001179391698412030;15.887519396719900;;;
10;365;0.79260878458490900000;0.0007672643638152670;0.012415272396853600;0.00001201828223762850;16.462644495476500;;;
10;371;0.79961283989844800000;0.0007691210224069920;0.012729213255093600;0.00001224380728358190;17.049510745973100;;;
10;377;0.80647438066535700000;0.0007710139171063840;0.013043935982941400;0.00001247039759452160;17.648063261490800;;;
10;383;0.81319575078482400000;0.0007729448111442400;0.013359329558571300;0.00001269807970921860;18.258412636733300;;;
10;389;0.81977919784017300000;0.0007749149039254680;0.013675286381416900;0.00001292687501747880;18.880664339710300;;;
10;395;0.82622705374935600000;0.0007769248561546300;0.013991702303078200;0.00001315679660917410;19.514913454057000;;;
10;401;0.83254153343403200000;0.0007789748938639870;0.014308476648121900;0.00001338785349525060;20.161250094631200;;;
10;407;0.83872490809575100000;0.0007810651766490090;0.014625512225351300;0.00001362005370248540;20.819763676232000;;;
10;413;0.84477938336400500000;0.0007831953542463500;0.014942715330126500;0.00001385339824437700;21.490533449776900;;;
10;419;0.85070717341298000000;0.0007853648047958950;0.015259995738312900;0.00001408788352650730;22.173631493909300;;;
10;425;0.85651044367286300000;0.0007875729395150010;0.015577266692434100;0.00001432350744721940;22.869131933997400;;;
10;431;0.86219136514946500000;0.0007898184123523610;0.015894444880594300;0.00001456025393925960;23.577086080742100;;;
10;437;0.86775210429314000000;0.0007921004593049460;0.016211450408726600;0.00001479811717104610;24.297560585603100;;;
10;443;0.87319477323317500000;0.0007944176588992480;0.016528206766709300;0.00001503707961603390;25.030602095783600;;;
10;449;0.87852149654189500000;0.0007967684464157580;0.016844640788876700;0.00001527711993914170;25.776249236599400;;;
10;455;0.88370514820611900000;0.0007991249622193830;0.017160682609053400;0.00001551821879668400;26.534543962271400;;;
10;461;0.88880744062117400000;0.0008015397480199380;0.017476265611809300;0.00001576035583706320;27.305524696730300;;;
10;467;0.89379992456564100000;0.0008039831561706700;0.017791326379468100;0.00001600349959973260;28.089206640588500;;;
10;473;0.89868463415917600000;0.0008064537983419190;0.018105804634677000;0.00001624762944048040;28.885621370452200;;;
10;479;0.90346356311920600000;0.0008089497203074620;0.018419643180132600;0.00001649271294050570;29.694777389840300;;;
10;485;0.90813872662964100000;0.0008114692168526180;0.018732787835451300;0.00001673872088983080;30.516686113385300;;;
10;491;0.91271207701575600000;0.0008140104837502530;0.019045187371568300;0.00001698562183611480;31.351352169225500;;;
10;497;0.91718555323799600000;0.0008165717284368170;0.019356793443024600;0.00001723338339004950;32.198775584829600;;;
10;503;0.92156110808112600000;0.0008191511473701520;0.019667560518481600;0.00001748197121537800;33.058949771667200;;;
10;509;0.92584061642688700000;0.0008217471211789290;0.019977445809777800;0.00001773135493455570;33.931872606919700;;;
10;515;0.93002598421546100000;0.0008243576771460780;0.020286409199824000;0.00001798149454900330;34.817520587601800;;;
10;521;0.93411908150319000000;0.0008269813973141250;0.020594413169608200;0.00001823236128787810;35.715888583621200;;;
10;527;0.93812173994453600000;0.0008296164082385320;0.020901422724566200;0.00001848391579631770;36.626947887489000;;;
10;533;0.94203576266349000000;0.0008322610277504780;0.021207405320547400;0.00001873612196855060;37.550672741344500;;;
10;539;0.94586299357422000000;0.0008349138366161870;0.021512330789593400;0.00001898894740159490;38.487041624594200;;;
10;545;0.94960519349081900000;0.0008375733098476080;0.021816171265721000;0.00001924235766662210;39.436025932731300;;;
10;551;0.95326409211963800000;0.0008402376899809590;0.022118901110890800;0.00001949631222655940;40.397581289527800;;;
10;557;0.95684148215067800000;0.0008429057317605360;0.022420496841320800;0.00001975077967354710;41.371678774125300;;;
10;563;0.96033903222518300000;0.0008455761325613440;0.022720937054289900;0.00002000572864149840;42.358286713122200;;;
10;569;0.96375846772286400000;0.0008482473261065590;0.023020202355562500;0.00002026111909623490;43.357352047071000;;;
10;575;0.96710144318282700000;0.0008509180925363880;0.023318275287549400;0.00002051691936640910;44.368836180566000;;;
10;581;0.97036960915618500000;0.0008535872499658760;0.023615140258306900;0.00002077309763253540;45.392697330455100;;;
10;587;0.97356462085248300000;0.0008562536067915690;0.023910783471465700;0.00002102962058207020;46.428887540006400;;;
10;593;0.97668807620690900000;0.0008589161274824830;0.024205192857165700;0.00002128645881967240;47.477364577323000;;;
10;599;0.97974155053734000000;0.0008615735845732350;0.024498358004065300;0.00002154357759977080;48.538071498808700;;;
10;605;0.98272662872202300000;0.0008642250225777130;0.024790270092481700;0.00002180094759235710;49.610960543337000;;;
