P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);μ(cP);Viscosidade cinemática ν (cSt)
10;269;1.570508900811220;0.008552927549414850;0.1462891979279640;0.000796685017508400;0.8967869391753250
10;270;1.574875284983730;0.008476408556331970;0.1460390165661690;0.000786021840194520;0.8856266865412120
10;271;1.579283435309560;0.008401539014622310;0.1457891365316100;0.000775575233104584;0.8746901085081890
10;272;1.583673661389990;0.008327965667706860;0.1455395526343590;0.000765339745922492;0.8639716709035440
10;273;1.588058112195950;0.008255714990581150;0.1452902597226930;0.000755309245906275;0.8534650481637260
10;274;1.592449088510140;0.008184821743908980;0.1450412526822910;0.000745478651269455;0.8431650800226840
10;275;1.596822515397740;0.008115129288972570;0.1447925264354570;0.000735842625445470;0.8330662988117640
10;276;1.601190655713260;0.008046665718270390;0.1445440759403440;0.000726395608479322;0.8231629635188570
10;277;1.605541421326210;0.007979340875357730;0.1442958961901930;0.000717132630353264;0.8134499809951930
10;278;1.609899439441130;0.007913252921274650;0.1440479822125820;0.000708049265762302;0.8039228576977100
10;279;1.614264985502770;0.007848372681606070;0.1438003290686880;0.000699140837721353;0.7945767974526100
10;280;1.618613607604790;0.007784548819134890;0.1435529318525600;0.000690402453609578;0.7854067409613080
10;281;1.623069364437600;0.007722346863130850;0.1433057856903940;0.000681829753454916;0.7764082165694280
10;282;1.627409539168570;0.007660679638975790;0.1430588857398300;0.000673418870164409;0.7675772977611480
10;283;1.631782991733520;0.007600232051907200;0.1428122271892510;0.000665165694204791;0.7589097668361540
10;284;1.636052582091800;0.007540334156995430;0.1425658052570920;0.000657065563030474;0.7504007587712110
10;285;1.640456022957390;0.007482068787609340;0.1423196151911620;0.000649115328777103;0.7420471217394110
10;286;1.644818487900610;0.007424600202695400;0.1420736522679680;0.000641310925908179;0.7338446421640460
10;287;1.649152429252480;0.007367970768670980;0.1418279117920570;0.000633649073141885;0.7257899888884650
10;288;1.653533748869130;0.007312494032098030;0.1415823890953570;0.000626125941498349;0.7178791903512850
10;289;1.657785293386200;0.007257366563747590;0.1413370795365330;0.000618738143798463;0.7101087670239070
10;290;1.662237196512900;0.007204015374484700;0.1410919785003460;0.000611482395211260;0.7024753438472730
10;291;1.666572124466120;0.007151032421584650;0.1408470813970230;0.000604355509593284;0.6949756465141060
10;292;1.670878897994700;0.007098793928139030;0.1406023836616360;0.000597354690766022;0.6876068372293480
10;293;1.675208832571010;0.007047493043736880;0.1403578807534820;0.000590476344806333;0.6803651483403180
10;294;1.679523670501010;0.006996955795241330;0.1401135681554740;0.000583718145755538;0.6732482602293770
10;295;1.683836380451750;0.006947215873007270;0.1398694413735410;0.000577076974069315;0.6662529283896860
10;296;1.688160076476830;0.006898306111221100;0.1396254959360300;0.000570549810600862;0.6593760119465260
10;297;1.692559968509510;0.006850478699001990;0.1393817273931190;0.000564134549027235;0.6526154140013940
10;298;1.696867555455390;0.006803029303803680;0.1391381313162300;0.000557828324065497;0.6459681509146880
10;299;1.701134482474410;0.006756154155268420;0.1388947032974560;0.000551628361246859;0.6394313328627500
10;300;1.705478450724870;0.006710311517275250;0.1386514389489850;0.000545532749048057;0.6330030602213640
10;301;1.709847740783090;0.006665269553368600;0.1384083339025400;0.000539538598606779;0.6266802910327120
10;302;1.714111056155760;0.006620506708903230;0.1381653838088130;0.000533643865815726;0.6204609537355910
10;303;1.718426136810770;0.006576623433079950;0.1379225843369130;0.000527846312780432;0.6143427433370670
10;304;1.722740618575290;0.006533398492448820;0.1376799311738170;0.000522143522404073;0.6083231372024980
10;305;1.727094484525350;0.006490974492247860;0.1374374200238210;0.000516533864040536;0.6024005201084790
10;306;1.731341814676840;0.006448784528208210;0.1371950466080030;0.000511014801590542;0.5965722136789840
10;307;1.735668744800740;0.006407513434618760;0.1369528066636860;0.000505584346802913;0.5908361692949530
10;308;1.740049312131100;0.006367048562386250;0.1367106959439070;0.000500240788582258;0.5851906546373270
10;309;1.744282880403290;0.006326644666869100;0.1364687102168900;0.000494982234469085;0.5796337183588210
10;310;1.748623997692330;0.006287216102110170;0.1362268452655210;0.000489806622935157;0.5741632033564350
10;311;1.752952304889740;0.006248314823890820;0.1359850968868290;0.000484712387402718;0.5687775248766350
10;312;1.757173223644020;0.006209593589632210;0.1357434608914740;0.000479697569507780;0.5634746318526230
10;313;1.761557163535770;0.006172001217560650;0.1355019331032290;0.000474760690942499;0.5582530296437580
10;314;1.765765818026060;0.006134334197406750;0.1352605093584770;0.000469899892525904;0.5531107695202600
10;315;1.770097712062870;0.006097625830015650;0.1350191855057010;0.000465113573943762;0.5480462000997440
10;316;1.774458336536330;0.006061532207023960;0.1347779574049840;0.000460400175527304;0.5430577114799630
10;317;1.778683754471400;0.006025488151763740;0.1345368209275090;0.000455758376629228;0.5381439696769950
10;318;1.783006447413000;0.005990271148693920;0.1342957719550620;0.000451186303505074;0.5333029817697720
10;319;1.787275931455200;0.005955367225925800;0.1340548063795380;0.000446682902365566;0.5285337170861370
10;320;1.791560933237250;0.005920996039285140;0.1338139201024490;0.000442246577400053;0.5238344990003590
10;321;1.795847889753190;0.005887102739259090;0.1335731090344370;0.000437875958523447;0.5192039118661240
10;322;1.800136964549870;0.005853678832838660;0.1333323690947820;0.000433569712789893;0.5146405785296860
10;323;1.804428321150240;0.005820716045493020;0.1330916962109200;0.000429326542138818;0.5101431578428000
10;324;1.808652472806720;0.005787983373240400;0.1328510863179610;0.000425145178682127;0.5057103392355520
10;325;1.812920788688210;0.005755831257593400;0.1326105353582040;0.000421024387421384;0.5013408461024330
10;326;1.817219738584790;0.005724203337780400;0.1323700392806580;0.000416962794638449;0.4970332314075350
10;327;1.821521626360780;0.005693005313334180;0.1321295940405660;0.000412959401653924;0.4927864898339770
10;328;1.825756296142700;0.005662011710873170;0.1318891955989240;0.000409013060284352;0.4885994335237120
10;329;1.830022094325190;0.005631520296357580;0.1316488399220060;0.000405122493499778;0.4844707157940970
10;330;1.834305255264020;0.005601481729578300;0.1314085229808900;0.000401286775184198;0.4803994046176280
10;331;1.838563553267340;0.005571759684986610;0.1311682407509830;0.000397504842553939;0.4763844005061190
10;332;1.842867937688660;0.005542560094045550;0.1309279892115460;0.000393775502496229;0.4724244432035000
10;333;1.847062349187860;0.005513407221920640;0.1306877643452230;0.000390097748500168;0.4685184914489990
10;334;1.851345834213570;0.005484893668077350;0.1304475621375660;0.000386470747043539;0.4646657077845190
10;335;1.855690559016740;0.005456923012857440;0.1302073785765650;0.000382893385508617;0.4608649155068550
10;336;1.859925155323590;0.005428984735280480;0.1299672096521740;0.000379364726192916;0.4571151438723330
10;337;1.864178245753790;0.005401452491602490;0.1297270513558400;0.000375883854653024;0.4534154462719430
10;338;1.868435703262570;0.005374280473170240;0.1294868996800300;0.000372450020766888;0.4497650706988270
10;339;1.872697695814610;0.005347458845737080;0.1292467506177580;0.000369062065606410;0.4461627679472910
10;340;1.876906566742240;0.005320822169366220;0.1290066001621120;0.000365719418483657;0.4426079955369290
360;285;1.640019606704990;0.007481572631870370;0.1423196151911620;0.000649245005144657;0.7419731674909500
360;287.5;1.650916062003530;0.007339699709165290;0.1417051235120080;0.000629997537588978;0.7217439027040730
360;290;1.661777409376290;0.007203492814523100;0.1410919785003460;0.000611607215009353;0.7024033841381210
360;292.5;1.672567336757620;0.007072488641776750;0.1404801081370190;0.000594023300204275;0.6838995296611890
360;295;1.683351793577090;0.006946671839004980;0.1398694413735410;0.000577197893651360;0.6661830381504230
360;297.5;1.694211558072210;0.006826087512808080;0.1392599080723940;0.000561087141094367;0.6492088191848410
360;300;1.704967581803810;0.006709743886380050;0.1386514389489850;0.000545650049158999;0.6329346698702860
360;302.5;1.715818253882090;0.006598190858576020;0.1380439655151110;0.000530849015787415;0.6173219260635900
360;305;1.726555721286170;0.006490387279437820;0.1374374200238210;0.000516648302538920;0.6023337242413360
360;307.5;1.737247131002710;0.006386395350789310;0.1368317354155650;0.000503015111266305;0.5879362810740640
360;310;1.748055645810660;0.006286609904928310;0.1362268452655210;0.000489918634349997;0.5740978181732570
