P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: Refrig-1270
10;185;1.158888861192930;0.00076352237212846100;0.007894842450768360;0.00000520143823747359;18.9184521225985000;;;
10;192.2;1.180176646438210;0.00076667555961916600;0.008343123532896210;0.00000541992499416055;20.4895942171699000;;;
10;199.4;1.201815380737910;0.00076978511941659200;0.008805224218633260;0.00000563990999388669;22.1287597862879000;;;
10;206.6;1.223789270319010;0.00077271220472130000;0.009281141353764570;0.00000586020107524557;23.8317434304549000;;;
10;213.8;1.246083062443520;0.00077539374554895100;0.009770852553048070;0.00000608005853434660;25.5955619228303000;;;
10;221;1.268682247958220;0.00077781440047306800;0.010274317111857500;0.00000629906488996037;27.4182115689216000;;;
10;228.2;1.291572668874150;0.00077998700519726000;0.010791476916788500;0.00000651702530165679;29.2984511764471000;;;
10;235.4;1.314740553560490;0.00078194044155725100;0.011322257349243900;0.00000673389961777373;31.2356460685357000;;;
10;242.6;1.338172426028650;0.00078371099595820100;0.011866568176067800;0.00000694974712001193;33.2296143946172000;;;
10;249.8;1.361855061200960;0.00078533733167737600;0.012424304421533900;0.00000716469054625413;35.2805209317917000;;;
10;257;1.385775476521540;0.00078685674488527800;0.012995347215365400;0.00000737888408460188;37.3887601433694000;;;
10;264.2;1.409920775291940;0.00078830404599452200;0.013579564611958900;0.00000759250158877521;39.5549171550024000;;;
10;271.4;1.434278308820360;0.00078970986715185200;0.014176812376552700;0.00000780571563390100;41.7796696125870000;;;
10;278.6;1.458835394258290;0.00079110064906494500;0.014786934734704900;0.00000801869334425737;44.0637637776807000;;;
10;285.8;1.483579648284740;0.00079249845104460900;0.015409765082099700;0.00000823158700825037;46.4079576741574000;;;
10;293;1.508498627410300;0.00079392133291590700;0.016045126652352000;0.00000844453425888007;48.8130115060322000;;;
10;300.2;1.533580027333870;0.00079538548778187500;0.016692833141126300;0.00000865767484824296;51.2797765284840000;;;
10;307.4;1.558811597940500;0.00079690083371381300;0.017352689285499300;0.00000887109935354675;53.8088854014469000;;;
10;314.6;1.584181115295810;0.00079847365988565100;0.018024491398070500;0.00000908487134156210;56.4008547120634000;;;
10;321.8;1.609676436315410;0.00080010895007998600;0.018708027855853800;0.00000929904929221521;59.0562049420099000;;;
10;329;1.635285430931060;0.00080180984326819900;0.019403079544458400;0.00000951367869742763;61.7754055317149000;;;
10;336.2;1.660996029026120;0.00080357758504799500;0.020109420258486300;0.00000972878868199602;64.5588431971337000;;;
10;343.4;1.686796186814640;0.00080541191006270300;0.020826817059435000;0.00000994439437288657;67.4068263251473000;;;
10;350.6;1.712673889635600;0.00080731119473923900;0.021555030592699200;0.00001016049675641130;70.3195740120880000;;;
10;357.8;1.738617135766480;0.00080927302149745400;0.022293815365516000;0.00001037708817565730;73.2972448218088000;;;
10;365;1.764613907679780;0.00081129390249271800;0.023042919987893500;0.00001059414776254730;76.3398977159776000;;;
10;372.2;1.790615200583600;0.00081335314618125900;0.023802087378457000;0.00001081164878341230;79.4475390930738000;;;
10;379.4;1.816685326713210;0.00081548122625257100;0.024571054938246100;0.00001102955680696340;82.6201032740003000;;;
10;386.6;1.842773071005270;0.00081765551936899400;0.025349554694504300;0.00001124783275577200;85.8574660769899000;;;
10;393.8;1.868866512639800;0.00081987092749734100;0.026137313415877900;0.00001146642804482350;89.1594070852650000;;;
10;401;1.894953789702960;0.00082212274181463100;0.026934052702584100;0.00001168529669501820;92.5256988167538000;;;
10;408.2;1.921022968055300;0.00082440591984856300;0.027739489053505000;0.00001190438603263260;95.9560336171573000;;;
10;415.4;1.947062212676230;0.00082671546105957000;0.028553333912493700;0.00001212364066056700;99.4500514727703000;;;
10;422.6;1.973059630778940;0.00082904647340701200;0.029375293696107100;0.00001234300436953260;103.0073540249430000;;;
10;429.8;1.999003394599870;0.00083139434734802800;0.030205069804892800;0.00001256242203734080;106.6275201164430000;;;
10;437;2.024881591214190;0.00083375449401382300;0.031042358620253100;0.00001278183678330800;110.3100820109140000;;;
10;444.2;2.050682410492140;0.00083612256209976700;0.031886851488800000;0.00001300119210449160;114.0545428843250000;;;
10;451.4;2.076394014560030;0.00083849433223796000;0.032738234695999900;0.00001322043121275740;117.8603711867590000;;;
10;458.6;2.102004537347670;0.00084086583104377000;0.033596189430785100;0.00001343949893717500;121.7270176727410000;;;
10;465.8;2.127502158940670;0.00084323336553409200;0.034460391742687500;0.00001365834200670250;125.6539191555830000;;;
10;473;2.152875053211090;0.00084559330797285200;0.035330512492930000;0.00001387690608737970;129.6404721829320000;;;
10;480.2;2.178111367993890;0.00084794255368787600;0.036206217300787900;0.00001409514353055540;133.6861057703610000;;;
10;487.4;2.203199283300740;0.00085027775126103700;0.037087166486417200;0.00001431300053505420;137.7901625732310000;;;
10;494.6;2.228127011057890;0.00085259640534588300;0.037973015011233500;0.00001453043562509990;141.9520750245660000;;;
10;501.8;2.252882690870900;0.00085489557701294900;0.038863412416813800;0.00001474739875156160;146.1711669686780000;;;
10;509;2.277454516567820;0.00085717302145199200;0.039758002763191100;0.00001496384981895480;150.4468338302440000;;;
10;516.2;2.301830677508130;0.00085942673848945600;0.040656424567312800;0.00001517975179753630;154.7784794685920000;;;
10;523.4;2.325999348662780;0.00086165427805541400;0.041558310742340200;0.00001539505858438020;159.1653928593720000;;;
10;530.6;2.349948729458960;0.00086385422710192400;0.042463288538381300;0.00001560974111506460;163.6070153159220000;;;
10;537.8;2.373667004641470;0.00086602464511961500;0.043370979485166200;0.00001582376004877080;168.1026624390250000;;;
10;545;2.397142379894670;0.00086816430898220800;0.044280999337100400;0.00001603708795646280;172.6517556761210000;;;
10;552.2;2.420363013481880;0.00087027193608274600;0.045192958021064000;0.00001624969595685490;177.2536850230620000;;;
10;559.4;2.443317123384160;0.00087234635462141700;0.046106459587257100;0.00001646155611995830;181.9078345509610000;;;
10;566.6;2.465992905960540;0.00087438652461542200;0.047021102163340000;0.00001667264249009460;186.6135945337380000;;;
10;573.8;2.488378552110660;0.00087639149802599200;0.047936477912058500;0.00001688293031291590;191.3703540914760000;;;
10;581;2.510462263444670;0.00087836097419888200;0.048852172992500900;0.00001709240679943450;196.1776255892740000;;;
10;588.2;2.532232216464910;0.00088029397888037100;0.049767767525090000;0.00001730104601378760;201.0347613532680000;;;
10;595.4;2.553676653489790;0.00088219016528075400;0.050682835560373900;0.00001750883339862210;205.9412327853120000;;;
10;602.6;2.574783716862910;0.00088404929667857400;0.051596945051647200;0.00001771575712745600;210.8965355149360000;;;
10;609.8;2.595541666621660;0.00088587097469585400;0.052509657831402900;0.00001792180120329050;215.9001082029960000;;;
10;617;2.615938652975110;0.00088765509459507800;0.053420529591589400;0.00001812695614784840;220.9514598659610000;;;
10;624.2;2.635962920980780;0.00088940170853054400;0.054329109867624400;0.00001833121503895430;226.0501256498090000;;;
10;631.4;2.655602657772660;0.00089111059906015200;0.055234942026096500;0.00001853456582966760;231.1955728395110000;;;
10;638.6;2.674846047764640;0.00089278196318592700;0.056137563256069500;0.00001873700506020220;236.3873702025870000;;;
10;645.8;2.693681308358870;0.00089441596078978900;0.057036504563888400;0.00001893852842624580;241.6250737664240000;;;
10;653;2.712096641169660;0.00089601268320312400;0.057931290771375600;0.00001913913040469470;246.9082213887840000;;;
10;660.2;2.730080280734780;0.00089757256457064400;0.058821440517293700;0.00001933881270430520;252.2364421123050000;;;
10;667.4;2.747620371008070;0.00089909595596575900;0.059706466261946200;0.00001953757619777240;257.6093549320330000;;;
10;674.6;2.764705186295600;0.00090058302747979700;0.060585874294777700;0.00001973541713068120;263.0265176745130000;;;
10;681.8;2.781322868026850;0.00090203426900714500;0.061459164744832300;0.00001993233988822160;268.4875956721250000;;;
10;689;2.797461671688860;0.00090345012739267400;0.062325831593925700;0.00002012834744555860;273.9922375625660000;;;
10;696.2;2.813109781588410;0.00090483117930105900;0.063185362692383700;0.00002032344653369080;279.5401453394430000;;;
460;266;1.502359709659520;0.00082747669924139900;0.014307286302499400;0.00000788023398695706;0.8132465079541830;;;
460;272.1;1.517209052745920;0.00082598462103450900;0.014798057638740000;0.00000805621875815976;0.8563246724474020;;;
460;278.2;1.532821085107620;0.00082477662763391100;0.015299204731518000;0.00000823215873433542;0.9002265001706900;;;
460;284.3;1.549095629754680;0.00082382086274770300;0.015810501689911300;0.00000840814530263663;0.9449723800871680;;;
460;290.4;1.565950922121600;0.00082309259594623300;0.016331736127121000;0.00000858426078064346;0.9905810679733720;;;
460;296.5;1.583317953402140;0.00082257719518310500;0.016862705853509800;0.00000876063917191926;1.0370770580040300;;;
460;302.6;1.601138944315120;0.00082231373344156100;0.017403216371400300;0.00000893795249879385;1.0845506028918300;;;
460;308.7;1.619363060796570;0.00082221839058480000;0.017953078956173800;0.00000911552945892560;1.1329319850765500;;;
460;314.8;1.637948223002580;0.00082227977769946100;0.018512109171851300;0.00000929341526234195;1.1822339418809500;;;
460;320.9;1.656856486287570;0.00082248777754175900;0.019080125712371900;0.00000947165329180018;1.2324688652135300;;;
460;327;1.676055565095960;0.00082283276818831700;0.019656949489442900;0.00000965026607671577;1.2836463397934400;;;
460;333.1;1.695515066370270;0.00082330593962225400;0.020242402908644700;0.00000982927894742428;1.3357761345386900;;;
460;339.2;1.715208536588370;0.00082389886527371700;0.020836309290300400;0.00001000870227413670;1.3888658435647900;;;
460;345.3;1.735113106915780;0.00082460420869689200;0.021438492402338500;0.00001018854101938540;1.4429220787595400;;;
460;351.4;1.755204588814640;0.00082541348550942300;0.022048776080234800;0.00001036879531399480;1.4979505218301500;;;
460;357.5;1.775465840494960;0.00082632092532178200;0.022666983914938100;0.00001054945845515340;1.5539555996017700;;;
460;363.6;1.795876264816130;0.00082731859552527200;0.023292938994049700;0.00001073051743694940;1.6109405000170100;;;
460;369.7;1.814631260313880;0.00082758466309242500;0.023926463437680300;0.00001091195474040320;1.6689084154444400;;;
460;375.8;1.835386297746490;0.00082879501336427200;0.024567378014452200;0.00001109375198823970;1.7278642331222200;;;
460;381.9;1.856236381806190;0.00083007301794319900;0.025215503240249900;0.00001127588548459780;1.7878085632412300;;;
460;388;1.877170321033300;0.00083141409491382000;0.025870658465444700;0.00001145832631800420;1.8487405475447000;;;
460;394.1;1.898173285251230;0.00083281218623654000;0.026532661695844400;0.00001164104677127310;1.9106590987729500;;;
460;400.2;1.919233018836890;0.00083426227208589800;0.027201329487803000;0.00001182401653135600;1.9735622979782300;;;
460;406.3;1.940337923998410;0.00083575949533317100;0.027876476852922900;0.00001200720242495490;2.0374473251829900;;;
460;412.4;1.961475931876350;0.00083729876066818400;0.028557917170398900;0.00001219056949180400;2.1023106150892300;;;
460;418.5;1.982637196962920;0.00083887619691166500;0.029245462105484400;0.00001237408541792420;2.1681486182713500;;;
460;424.6;2.003810694937270;0.00084048732675445800;0.029938921532902500;0.00001255771525158390;2.2349569053328800;;;
460;430.7;2.024985407804170;0.00084212753899964600;0.030638103464296600;0.00001274142054089300;2.3027299817443000;;;
460;436.8;2.046151202326590;0.00084379293957752500;0.031342813979030400;0.00001292516658198380;2.3714625759316000;;;
460;442.9;2.067298190604870;0.00084547987018790900;0.032052857157818500;0.00001310891947378660;2.4411491479980900;;;
460;449;2.088418220175610;0.00084718534208830700;0.032768035018804400;0.00001329264353699860;2.5117834179767300;;;
460;455.1;2.109499846782990;0.00084890510259744300;0.033488147455810100;0.00001347630306545230;2.5833586816311200;;;
460;461.2;2.130535290688150;0.00085063651124689800;0.034212992178562100;0.00001365986305567810;2.6558679559314200;;;
460;467.3;2.151515112121030;0.00085237660321006200;0.034942364654766200;0.00001384329300071470;2.7293047401976700;;;
460;473.4;2.172428958222280;0.00085412174960030300;0.035676058053951000;0.00001402655631547920;2.8036609668754400;;;
460;479.5;2.193270990435750;0.00085587062282262000;0.036413863193038700;0.00001420962384780910;2.8789296589312800;;;
460;485.6;2.214029442253790;0.00085761945581163500;0.037155568483627100;0.00001439246372029390;2.9551029478293800;;;
460;491.7;2.234697791349580;0.00085936690682678800;0.037900959880989800;0.00001457504938017690;3.0321737133794900;;;
460;497.8;2.255266743000690;0.00086111001075988100;0.038649820834810700;0.00001475734422024470;3.1101324168237200;;;
460;503.9;2.275728901527750;0.00086284759246445500;0.039401932241682300;0.00001493932882355170;3.1889727819909000;;;
460;510;2.296073636231960;0.00086457657801618000;0.040157072399397100;0.00001512097159705870;3.2686856817090100;;;
460;516.1;2.316296417436560;0.00086629690034966900;0.040915016963066700;0.00001530225238274350;3.3492641421888900;;;
460;522.2;2.336385853518040;0.00086800543381919300;0.041675538903099100;0.00001548314212344800;3.4306989933586600;;;
460;528.3;2.356335284087130;0.00086970122896325900;0.042438408465066300;0.00001566361809652730;3.5129821662683400;;;
460;534.4;2.376136148451170;0.00087138269544679900;0.043203393131484900;0.00001584365827854610;3.5961055005789400;;;
460;540.5;2.395781291908150;0.00087304919709756700;0.043970257585533700;0.00001602324811988520;3.6800623107896200;;;
460;546.6;2.415262404677760;0.00087469914119148000;0.044738763676720700;0.00001620236297729200;3.7648434056451200;;;
460;552.7;2.434571822782480;0.00087633147949634200;0.045508670388512500;0.00001638098333278860;3.8504405301521200;;;
460;558.8;2.453701322355820;0.00087794531208146300;0.046279733807927300;0.00001655909583242900;3.9368466821839200;;;
460;564.9;2.472643468395360;0.00087953989458176300;0.047051707097091000;0.00001673668445492620;4.0240540725300800;;;
460;571;2.491389810112870;0.00088111410914333400;0.047824340466748000;0.00001691373263817640;4.1120546064785800;;;
460;577.1;2.509933880007620;0.00088266790563917100;0.048597381151712700;0.00001709023053651140;4.2008416608353700;;;
460;583.2;2.528266389917780;0.00088419982431154600;0.049370573388244000;0.00001726616012067670;4.2904064719577800;;;
460;589.3;2.546381829310640;0.00088571020773107800;0.050143658393317500;0.00001744151233751340;4.3807423362585300;;;
460;595.4;2.564270964256190;0.00088719806959882900;0.050916374345767700;0.00001761627755420910;4.4718423051285400;;;
460;601.5;2.581926384679370;0.00088866308524340300;0.051688456369267400;0.00001779044645933480;4.5636994085129600;;;
460;607.6;2.599341152099660;0.00089010503241635900;0.052459636517106500;0.00001796400846610350;4.6563062455254800;;;
460;613.7;2.616507449673720;0.00089152366954873600;0.053229643758731300;0.00001813695861575850;4.7496567754006500;;;
460;619.8;2.633417180788060;0.00089291855651485900;0.053998203967999300;0.00001830928980537450;4.8437443367701300;;;
