P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: 13-ClHexaFC3
10;185;0.764319396106855000;0.00570420441776403;0.1039746091859640;0.0007759745834985290;0.4099718371525970;;;
10;186;0.766335627528054000;0.00569051820621722;0.1037581446286910;0.0007704686952340220;0.4075857350592650;;;
10;187;0.768327773691728000;0.00567696073833688;0.1035414055436590;0.0007650387167956370;0.4052342619479260;;;
10;188;0.770363171116004000;0.00566402610341727;0.1033243905328860;0.0007596833117685740;0.4029168376729130;;;
10;189;0.772351260115099000;0.00565104064101662;0.1031070981858820;0.0007544007918610490;0.4006326924532970;;;
10;190;0.774363667900669000;0.00563852470003021;0.1028895270794900;0.0007491895137396210;0.3983810766554550;;;
10;191;0.776356897524313000;0.00562615444220597;0.1026716757777250;0.0007440478813386070;0.3961612621459050;;;
10;192;0.778347150044884000;0.00561404554955449;0.1024535428316050;0.0007389747057424110;0.3939727342893930;;;
10;193;0.780346866717375000;0.00560228181331164;0.1022351267789850;0.0007339684643636250;0.3918147978623320;;;
10;194;0.782348356727442000;0.00559080161189982;0.1020164261443850;0.0007290276701213670;0.3896867732029610;;;
10;195;0.784343783147639000;0.00557954622511867;0.1017974394388130;0.0007241512346387300;0.3875881907008600;;;
10;196;0.786325163792850000;0.00556845424851642;0.1015781651595900;0.0007193377388701150;0.3855184012752240;;;
10;197;0.788342109782155000;0.00555786871684251;0.1013586017901720;0.0007145854510146150;0.3834765848004440;;;
10;198;0.790324974829058000;0.00554729768522702;0.1011387477999590;0.0007098937265380260;0.3814625012725760;;;
10;199;0.792302730997277000;0.00553694162900747;0.1009186016441150;0.0007052612400832970;0.3794755432994810;;;
10;200;0.794288141320015000;0.00552688481600804;0.1006981617633770;0.0007006867058659750;0.3775151217930130;;;
10;201;0.796260616696328000;0.00551698162062815;0.1004774265838580;0.0006961691990382170;0.3755808394592350;;;
10;202;0.798241346670352000;0.00550737190097342;0.1002563945168550;0.0006917071539305430;0.3736719509060100;;;
10;203;0.800243413541982000;0.00549814275892810;0.1000350639586460;0.0006872997056092420;0.3717880860117910;;;
10;204;0.802199380175262000;0.00548882891209276;0.0998134332902863;0.0006829460007052990;0.3699288791344360;;;
10;205;0.804168677127725000;0.00547983468127099;0.0995915008774029;0.0006786448863154900;0.3680938003997230;;;
10;206;0.806147459805864000;0.00547112836612076;0.0993692650699826;0.0006743952340628590;0.3662823305964480;;;
10;207;0.808136113883271000;0.00546270998055712;0.0991467242021576;0.0006701962584447770;0.3644941343800820;;;
10;208;0.810083192565467000;0.00545422551409807;0.0989238765919867;0.0006660465698007910;0.3627285457607330;;;
10;209;0.812055670632517000;0.00544612829111235;0.0987007205412327;0.0006619457334422520;0.3609854161080470;;;
10;210;0.814036698630706000;0.00543829957445168;0.0984772543351366;0.0006578927107890740;0.3592642664001280;;;
10;211;0.815996032906756000;0.00543053333639799;0.0982534762421862;0.0006538864855132830;0.3575646273598020;;;
10;212;0.817962193195526000;0.00542301880568841;0.0980293845138818;0.0006499263659754060;0.3558862051239090;;;
10;213;0.819911276491511000;0.00541559115599094;0.0978049773844970;0.0006460110815915330;0.3542283869526290;;;
10;214;0.821878714367751000;0.00540848831678045;0.0975802530708351;0.0006421405609562280;0.3525912153750310;;;
10;215;0.823833882338684000;0.00540149940565097;0.0973552097719812;0.0006383132801330880;0.3509739346760120;;;
10;216;0.825774649360627000;0.00539461009972969;0.0971298456690495;0.0006345286172651840;0.3493762818373340;;;
10;217;0.827736884355288000;0.00538805359162928;0.0969041589249265;0.0006307859555466590;0.3477979953519820;;;
10;218;0.829689628160785000;0.00538162630106952;0.0966781476840080;0.0006270846888471830;0.3462388183382600;;;
10;219;0.831637513271186000;0.00537535286886763;0.0964518100719332;0.0006234236740215180;0.3446981957457550;;;
10;220;0.833594290850264000;0.00536932337894184;0.0962251441953115;0.0006198026090641040;0.3431760353303690;;;
10;221;0.835530763964135000;0.00536334396635687;0.0959981481414464;0.0006162203844812120;0.3416717967924460;;;
10;222;0.837481123494149000;0.00535763361383242;0.0957708199780523;0.0006126764531693840;0.3401852492403540;;;
10;223;0.839427443637019000;0.00535207608481167;0.0955431577529667;0.0006091702785668740;0.3387161665242120;;;
10;224;0.841356123261074000;0.00534658412999539;0.0953151594938574;0.0006057013255250350;0.3372643221849640;;;
10;225;0.843304059867675000;0.00534138696560891;0.0950868232079226;0.0006022685556187790;0.3358292080322350;;;
10;226;0.845243925862829000;0.00533630988473606;0.0948581468815868;0.0005988714634479430;0.3344106108084190;;;
